FIPS,Total,Male,Female,Eighteen_Years_Plus,SixFive_Years_Plus,One_Race,Two_Plus_Races
13195,29218,14346,14872,22487,4865,28902,316
13197,8432,4031,4401,6611,1742,8323,109
13199,21106,10234,10872,16532,4191,20907,199
13201,5787,2806,2981,4454,1252,5755,32
13205,22244,11535,10709,17129,3579,21603,641
13207,27171,13586,13585,21546,4908,26906,265
13209,9058,4642,4416,7187,1502,8938,120
13211,18507,9065,9442,14309,3611,18198,309
13213,39724,19683,20041,29813,5720,39336,388
13215,195739,95539,100200,147250,25445,186702,9037
13217,108079,51233,56846,79550,13687,105546,2533
13219,38132,18737,19395,27986,5714,37301,831
13221,14931,7559,7372,11585,2818,14635,296
13223,159825,77953,81872,117295,16679,154590,5235
13225,27145,13203,13942,21394,4210,26860,285
13227,31387,15557,15830,25017,6708,28790,2597
13229,19250,9699,9551,14432,3228,18968,282
13231,18327,8964,9363,14019,2837,17968,359
13233,41908,20607,21301,31071,6453,40792,1116
13235,11216,5199,6017,9301,2229,11064,152
13237,21691,10510,11181,17265,5101,21419,272
13239,2289,1087,1202,1835,570,2225,64
13241,16645,8219,8426,13890,4571,16513,132
13243,6973,3378,3595,5198,1503,6848,125
13245,201852,97611,104241,155177,27400,196574,5278
13247,89717,42245,47472,67355,12577,87590,2127
13249,5221,2574,2647,3979,837,5162,59
13251,13989,6801,7188,10969,2554,13838,151
13253,8321,3949,4372,6607,1900,8043,278
13255,65306,31624,33682,49761,11529,64252,1054
13257,25750,11981,13769,19991,5081,25378,372
13259,6293,4187,2106,5524,937,6197,96
13261,30064,14197,15867,23143,5014,29565,499
13263,6321,3051,3270,5233,1483,6296,25
13265,1611,793,818,1370,406,1607,4
13267,25382,14924,10458,20175,3520,24994,388
13269,8116,3863,4253,6459,1581,8086,30
13271,16035,9238,6797,13351,2811,15861,174
13273,8737,4166,4571,6705,1639,8703,34
13275,44630,21262,23368,33981,7852,43576,1054
13277,40541,19674,20867,30464,5859,39934,607
13279,26972,12476,14496,19807,4357,26517,455
